[INFO ] 2016-02-02 06:54:26,978 -- WorkingPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\
[INFO ] 2016-02-02 06:54:26,996 -- Your original rating data path: C:\Users\irecs\Desktop\Data\music\ratings.txt
[INFO ] 2016-02-02 06:54:26,997 -- Current working path: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\
[WARN ] 2016-02-02 06:54:27,007 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2016-02-02 06:54:27,731 -- Data transformaton completed (from Compact to Binary format). See new rating file: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:27,760 -- Dataset: ...ARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:27,765 -- DataPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,354 -- Rating data set has been successfully loaded.
[INFO ] 2016-02-02 06:54:28,371 -- 
/***************************************************************************************************************************************************
 *
 * Dataset: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
 * User amount: 42
 * Item amount: 139
 * Rate amount: 3938
 * Context dimensions: 8 (drivingstyle, landscape, mood, naturalphenomena, roadtype, sleepiness, trafficconditions, weather)
 * Context conditions: 34 (drivingstyle: 3, landscape: 5, mood: 5, naturalphenomena: 5, roadtype: 4, sleepiness: 3, trafficconditions: 4, weather: 5)
 * Context situations: 27
 * Contextual Data density: 8.0978%
 * Scale distribution: [0.0 x 122, 3.0 x 652, 2.0 x 705, 1.0 x 1452, 4.0 x 513, 5.0 x 494]
 * 
 * Average value of all ratings: 2.447647
 * Standard deviation of all ratings: 1.474440
 * Mode of all rating values: 1.000000
 * Median of all rating values: 2.000000
 *
 ***************************************************************************************************************************************************/
[INFO ] 2016-02-02 06:54:28,372 -- Dataset: ...ARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,372 -- DataPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,630 -- Rating data set has been successfully loaded.
[INFO ] 2016-02-02 06:54:28,633 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2016-02-02 06:54:28,728 -- Fold [1]: training amount: 3029, test amount: 753
[DEBUG] 2016-02-02 06:54:28,751 -- Fold [2]: training amount: 3025, test amount: 757
[DEBUG] 2016-02-02 06:54:28,764 -- Fold [3]: training amount: 3023, test amount: 759
[DEBUG] 2016-02-02 06:54:28,781 -- Fold [4]: training amount: 3025, test amount: 757
[DEBUG] 2016-02-02 06:54:28,797 -- Fold [5]: training amount: 3026, test amount: 756
[DEBUG] 2016-02-02 06:54:29,548 -- CAMF_C fold [1] iter 28: loss = 3295.652, delta_loss = 0.004807932, learn_rate = 7.1113454E-10
[DEBUG] 2016-02-02 06:54:29,550 -- CAMF_C fold [2] iter 30: loss = 3378.662, delta_loss = 0.005674037, learn_rate = 7.8402584E-10
[DEBUG] 2016-02-02 06:54:29,561 -- CAMF_C fold [3] iter 27: loss = 3178.8147, delta_loss = 1.1960538E-4, learn_rate = 6.77271E-10
[DEBUG] 2016-02-02 06:54:29,561 -- CAMF_C fold [4] iter 25: loss = 3122.1438, delta_loss = 8.420656E-5, learn_rate = 6.143048E-10
[DEBUG] 2016-02-02 06:54:29,570 -- CAMF_C fold [3] iter 28: loss = 3178.8147, delta_loss = 1.2558456E-4, learn_rate = 7.1113454E-10
[DEBUG] 2016-02-02 06:54:29,571 -- CAMF_C fold [4] iter 26: loss = 3122.1438, delta_loss = 8.8416724E-5, learn_rate = 6.4502E-10
[DEBUG] 2016-02-02 06:54:29,581 -- CAMF_C fold [4] iter 27: loss = 3122.1436, delta_loss = 9.283738E-5, learn_rate = 6.77271E-10
[DEBUG] 2016-02-02 06:54:29,582 -- CAMF_C fold [3] iter 29: loss = 3178.8145, delta_loss = 1.318626E-4, learn_rate = 7.4669126E-10
[DEBUG] 2016-02-02 06:54:29,590 -- CAMF_C fold [4] iter 28: loss = 3122.1436, delta_loss = 9.747903E-5, learn_rate = 7.1113454E-10
[DEBUG] 2016-02-02 06:54:29,593 -- CAMF_C fold [5] iter 34: loss = 3360.7554, delta_loss = 0.0024196866, learn_rate = 9.529884E-10
[DEBUG] 2016-02-02 06:54:29,596 -- CAMF_C fold [2] iter 31: loss = 3378.656, delta_loss = 0.005957554, learn_rate = 8.2322715E-10
[DEBUG] 2016-02-02 06:54:29,597 -- CAMF_C fold [1] iter 29: loss = 3295.647, delta_loss = 0.0050481847, learn_rate = 7.4669126E-10
[DEBUG] 2016-02-02 06:54:29,602 -- CAMF_C fold [5] iter 35: loss = 3360.753, delta_loss = 0.0025405788, learn_rate = 1.0006377E-9
[DEBUG] 2016-02-02 06:54:29,606 -- CAMF_C fold [2] iter 32: loss = 3378.65, delta_loss = 0.0062552276, learn_rate = 8.643885E-10
[DEBUG] 2016-02-02 06:54:29,607 -- CAMF_C fold [1] iter 30: loss = 3295.6416, delta_loss = 0.0053004352, learn_rate = 7.8402584E-10
[DEBUG] 2016-02-02 06:54:29,612 -- CAMF_C fold [5] iter 36: loss = 3360.7502, delta_loss = 0.0026675062, learn_rate = 1.0506697E-9
[DEBUG] 2016-02-02 06:54:29,615 -- CAMF_C fold [2] iter 33: loss = 3378.6433, delta_loss = 0.006567764, learn_rate = 9.0760793E-10
[DEBUG] 2016-02-02 06:54:29,616 -- CAMF_C fold [1] iter 31: loss = 3295.6362, delta_loss = 0.0055652824, learn_rate = 8.2322715E-10
[DEBUG] 2016-02-02 06:54:29,632 -- CAMF_C fold [3] iter 30: loss = 3178.8145, delta_loss = 1.3845442E-4, learn_rate = 7.8402584E-10
[DEBUG] 2016-02-02 06:54:29,633 -- CAMF_C fold [5] iter 37: loss = 3360.7476, delta_loss = 0.0028007696, learn_rate = 1.1032031E-9
[DEBUG] 2016-02-02 06:54:29,635 -- CAMF_C fold [1] iter 32: loss = 3295.6304, delta_loss = 0.0058433535, learn_rate = 8.643885E-10
[DEBUG] 2016-02-02 06:54:29,637 -- CAMF_C fold [4] iter 29: loss = 3122.1433, delta_loss = 1.02352846E-4, learn_rate = 7.4669126E-10
[DEBUG] 2016-02-02 06:54:29,641 -- CAMF_C fold [1] iter 33: loss = 3295.6243, delta_loss = 0.0061353086, learn_rate = 9.0760793E-10
[DEBUG] 2016-02-02 06:54:29,644 -- CAMF_C fold [4] iter 30: loss = 3122.1433, delta_loss = 1.074702E-4, learn_rate = 7.8402584E-10
[DEBUG] 2016-02-02 06:54:29,645 -- CAMF_C fold [2] iter 34: loss = 3378.6365, delta_loss = 0.006895904, learn_rate = 9.529884E-10
[DEBUG] 2016-02-02 06:54:29,649 -- CAMF_C fold [4] iter 31: loss = 3122.143, delta_loss = 1.1284349E-4, learn_rate = 8.2322715E-10
[DEBUG] 2016-02-02 06:54:29,650 -- CAMF_C fold [3] iter 31: loss = 3178.8142, delta_loss = 1.4537571E-4, learn_rate = 8.2322715E-10
[DEBUG] 2016-02-02 06:54:29,657 -- CAMF_C fold [4] iter 32: loss = 3122.143, delta_loss = 1.18485346E-4, learn_rate = 8.643885E-10
[DEBUG] 2016-02-02 06:54:29,658 -- CAMF_C fold [3] iter 32: loss = 3178.814, delta_loss = 1.5264294E-4, learn_rate = 8.643885E-10
[DEBUG] 2016-02-02 06:54:29,662 -- CAMF_C fold [4] iter 33: loss = 3122.1428, delta_loss = 1.2440939E-4, learn_rate = 9.0760793E-10
[DEBUG] 2016-02-02 06:54:29,663 -- CAMF_C fold [3] iter 33: loss = 3178.814, delta_loss = 1.6027331E-4, learn_rate = 9.0760793E-10
[DEBUG] 2016-02-02 06:54:29,668 -- CAMF_C fold [4] iter 34: loss = 3122.1428, delta_loss = 1.3062949E-4, learn_rate = 9.529884E-10
[DEBUG] 2016-02-02 06:54:29,669 -- CAMF_C fold [3] iter 34: loss = 3178.8137, delta_loss = 1.6828509E-4, learn_rate = 9.529884E-10
[DEBUG] 2016-02-02 06:54:29,675 -- CAMF_C fold [3] iter 35: loss = 3178.8135, delta_loss = 1.7669721E-4, learn_rate = 1.0006377E-9
[DEBUG] 2016-02-02 06:54:29,680 -- CAMF_C fold [3] iter 36: loss = 3178.8135, delta_loss = 1.8552982E-4, learn_rate = 1.0506697E-9
[DEBUG] 2016-02-02 06:54:29,716 -- CAMF_C fold [5] iter 38: loss = 3360.7446, delta_loss = 0.0029406848, learn_rate = 1.1583633E-9
[DEBUG] 2016-02-02 06:54:29,722 -- CAMF_C fold [5] iter 39: loss = 3360.7415, delta_loss = 0.003087583, learn_rate = 1.2162814E-9
[DEBUG] 2016-02-02 06:54:29,726 -- CAMF_C fold [1] iter 34: loss = 3295.6177, delta_loss = 0.0064418395, learn_rate = 9.529884E-10
[DEBUG] 2016-02-02 06:54:29,727 -- CAMF_C fold [2] iter 35: loss = 3378.6292, delta_loss = 0.0072404263, learn_rate = 1.0006377E-9
[DEBUG] 2016-02-02 06:54:29,731 -- CAMF_C fold [1] iter 35: loss = 3295.611, delta_loss = 0.006763673, learn_rate = 1.0006377E-9
[DEBUG] 2016-02-02 06:54:29,733 -- CAMF_C fold [2] iter 36: loss = 3378.6216, delta_loss = 0.007602146, learn_rate = 1.0506697E-9
[DEBUG] 2016-02-02 06:54:29,739 -- CAMF_C fold [1] iter 36: loss = 3295.6038, delta_loss = 0.0071015717, learn_rate = 1.0506697E-9
[DEBUG] 2016-02-02 06:54:29,741 -- CAMF_C fold [2] iter 37: loss = 3378.6135, delta_loss = 0.007981921, learn_rate = 1.1032031E-9
[DEBUG] 2016-02-02 06:54:29,744 -- CAMF_C fold [5] iter 40: loss = 3360.7383, delta_loss = 0.0032418123, learn_rate = 1.2770954E-9
[DEBUG] 2016-02-02 06:54:29,746 -- CAMF_C fold [1] iter 37: loss = 3295.5964, delta_loss = 0.007456336, learn_rate = 1.1032031E-9
[DEBUG] 2016-02-02 06:54:29,747 -- CAMF_C fold [2] iter 38: loss = 3378.6052, delta_loss = 0.008380651, learn_rate = 1.1583633E-9
[DEBUG] 2016-02-02 06:54:29,750 -- CAMF_C fold [5] iter 41: loss = 3360.7349, delta_loss = 0.0034037377, learn_rate = 1.3409502E-9
[DEBUG] 2016-02-02 06:54:29,752 -- CAMF_C fold [4] iter 35: loss = 3122.1426, delta_loss = 1.3716053E-4, learn_rate = 1.0006377E-9
[DEBUG] 2016-02-02 06:54:29,752 -- CAMF_C fold [2] iter 39: loss = 3378.5964, delta_loss = 0.008799279, learn_rate = 1.2162814E-9
[DEBUG] 2016-02-02 06:54:29,752 -- CAMF_C fold [1] iter 38: loss = 3295.5886, delta_loss = 0.0078288065, learn_rate = 1.1583633E-9
[DEBUG] 2016-02-02 06:54:29,758 -- CAMF_C fold [5] iter 42: loss = 3360.7312, delta_loss = 0.0035737425, learn_rate = 1.4079977E-9
[DEBUG] 2016-02-02 06:54:29,761 -- CAMF_C fold [1] iter 39: loss = 3295.5803, delta_loss = 0.008219865, learn_rate = 1.2162814E-9
[DEBUG] 2016-02-02 06:54:29,762 -- CAMF_C fold [4] iter 36: loss = 3122.1426, delta_loss = 1.4401828E-4, learn_rate = 1.0506697E-9
[DEBUG] 2016-02-02 06:54:29,762 -- CAMF_C fold [2] iter 40: loss = 3378.5872, delta_loss = 0.009238797, learn_rate = 1.2770954E-9
[DEBUG] 2016-02-02 06:54:29,766 -- CAMF_C fold [5] iter 43: loss = 3360.7275, delta_loss = 0.0037522286, learn_rate = 1.4783976E-9
[DEBUG] 2016-02-02 06:54:29,768 -- CAMF_C fold [4] iter 37: loss = 3122.1423, delta_loss = 1.5121863E-4, learn_rate = 1.1032031E-9
[DEBUG] 2016-02-02 06:54:29,774 -- CAMF_C fold [3] iter 37: loss = 3178.8132, delta_loss = 1.9480355E-4, learn_rate = 1.1032031E-9
[DEBUG] 2016-02-02 06:54:29,774 -- CAMF_C fold [4] iter 38: loss = 3122.142, delta_loss = 1.5877908E-4, learn_rate = 1.1583633E-9
[DEBUG] 2016-02-02 06:54:29,782 -- CAMF_C fold [3] iter 38: loss = 3178.813, delta_loss = 2.0454104E-4, learn_rate = 1.1583633E-9
[DEBUG] 2016-02-02 06:54:29,783 -- CAMF_C fold [4] iter 39: loss = 3122.142, delta_loss = 1.6671763E-4, learn_rate = 1.2162814E-9
[DEBUG] 2016-02-02 06:54:29,789 -- CAMF_C fold [3] iter 39: loss = 3178.8127, delta_loss = 2.147649E-4, learn_rate = 1.2162814E-9
[DEBUG] 2016-02-02 06:54:29,789 -- CAMF_C fold [4] iter 40: loss = 3122.1418, delta_loss = 1.7505273E-4, learn_rate = 1.2770954E-9
[DEBUG] 2016-02-02 06:54:29,794 -- CAMF_C fold [3] iter 40: loss = 3178.8125, delta_loss = 2.2549974E-4, learn_rate = 1.2770954E-9
[DEBUG] 2016-02-02 06:54:29,801 -- CAMF_C fold [3] iter 41: loss = 3178.8123, delta_loss = 2.3677095E-4, learn_rate = 1.3409502E-9
[DEBUG] 2016-02-02 06:54:29,810 -- CAMF_C fold [2] iter 41: loss = 3378.5774, delta_loss = 0.009700246, learn_rate = 1.3409502E-9
[DEBUG] 2016-02-02 06:54:29,812 -- CAMF_C fold [5] iter 44: loss = 3360.7236, delta_loss = 0.003939619, learn_rate = 1.5523175E-9
[DEBUG] 2016-02-02 06:54:29,813 -- CAMF_C fold [1] iter 40: loss = 3295.5718, delta_loss = 0.008630438, learn_rate = 1.2770954E-9
[DEBUG] 2016-02-02 06:54:29,817 -- CAMF_C fold [2] iter 42: loss = 3378.5671, delta_loss = 0.010184717, learn_rate = 1.4079977E-9
[DEBUG] 2016-02-02 06:54:29,818 -- CAMF_C fold [1] iter 41: loss = 3295.5627, delta_loss = 0.009061496, learn_rate = 1.3409502E-9
[DEBUG] 2016-02-02 06:54:29,823 -- CAMF_C fold [2] iter 43: loss = 3378.5566, delta_loss = 0.010693356, learn_rate = 1.4783976E-9
[DEBUG] 2016-02-02 06:54:29,823 -- CAMF_C fold [5] iter 45: loss = 3360.7195, delta_loss = 0.0041363556, learn_rate = 1.6299334E-9
[DEBUG] 2016-02-02 06:54:29,825 -- CAMF_C fold [1] iter 42: loss = 3295.5532, delta_loss = 0.009514059, learn_rate = 1.4079977E-9
[DEBUG] 2016-02-02 06:54:29,829 -- CAMF_C fold [5] iter 46: loss = 3360.715, delta_loss = 0.0043429043, learn_rate = 1.7114301E-9
[DEBUG] 2016-02-02 06:54:29,830 -- CAMF_C fold [2] iter 44: loss = 3378.5454, delta_loss = 0.0112273665, learn_rate = 1.5523175E-9
[DEBUG] 2016-02-02 06:54:29,832 -- CAMF_C fold [1] iter 43: loss = 3295.5432, delta_loss = 0.009989198, learn_rate = 1.4783976E-9
[DEBUG] 2016-02-02 06:54:29,835 -- CAMF_C fold [5] iter 47: loss = 3360.7104, delta_loss = 0.0045597525, learn_rate = 1.7970015E-9
[DEBUG] 2016-02-02 06:54:29,835 -- CAMF_C fold [2] iter 45: loss = 3378.5334, delta_loss = 0.01178801, learn_rate = 1.6299334E-9
[DEBUG] 2016-02-02 06:54:29,846 -- CAMF_C fold [1] iter 44: loss = 3295.5327, delta_loss = 0.010488036, learn_rate = 1.5523175E-9
[DEBUG] 2016-02-02 06:54:29,848 -- CAMF_C fold [5] iter 48: loss = 3360.7058, delta_loss = 0.004787413, learn_rate = 1.8868516E-9
[DEBUG] 2016-02-02 06:54:29,854 -- CAMF_C fold [2] iter 46: loss = 3378.5212, delta_loss = 0.012376611, learn_rate = 1.7114301E-9
[DEBUG] 2016-02-02 06:54:29,861 -- CAMF_C fold [5] iter 49: loss = 3360.7007, delta_loss = 0.0050264234, learn_rate = 1.9811943E-9
[DEBUG] 2016-02-02 06:54:29,862 -- CAMF_C fold [3] iter 42: loss = 3178.812, delta_loss = 2.4860524E-4, learn_rate = 1.4079977E-9
[DEBUG] 2016-02-02 06:54:29,865 -- CAMF_C fold [4] iter 41: loss = 3122.1416, delta_loss = 1.8380475E-4, learn_rate = 1.3409502E-9
[DEBUG] 2016-02-02 06:54:29,868 -- CAMF_C fold [3] iter 43: loss = 3178.8118, delta_loss = 2.6103092E-4, learn_rate = 1.4783976E-9
[DEBUG] 2016-02-02 06:54:29,873 -- CAMF_C fold [4] iter 42: loss = 3122.1416, delta_loss = 1.9299428E-4, learn_rate = 1.4079977E-9
[DEBUG] 2016-02-02 06:54:29,877 -- CAMF_C fold [3] iter 44: loss = 3178.8115, delta_loss = 2.740774E-4, learn_rate = 1.5523175E-9
[DEBUG] 2016-02-02 06:54:29,878 -- CAMF_C fold [4] iter 43: loss = 3122.1414, delta_loss = 2.0264319E-4, learn_rate = 1.4783976E-9
[DEBUG] 2016-02-02 06:54:29,883 -- CAMF_C fold [3] iter 45: loss = 3178.8113, delta_loss = 2.877756E-4, learn_rate = 1.6299334E-9
[DEBUG] 2016-02-02 06:54:29,884 -- CAMF_C fold [4] iter 44: loss = 3122.141, delta_loss = 2.1277447E-4, learn_rate = 1.5523175E-9
[DEBUG] 2016-02-02 06:54:29,891 -- CAMF_C fold [3] iter 46: loss = 3178.811, delta_loss = 3.0215815E-4, learn_rate = 1.7114301E-9
[DEBUG] 2016-02-02 06:54:29,893 -- CAMF_C fold [4] iter 45: loss = 3122.1409, delta_loss = 2.2341221E-4, learn_rate = 1.6299334E-9
[DEBUG] 2016-02-02 06:54:29,898 -- CAMF_C fold [4] iter 46: loss = 3122.1406, delta_loss = 2.345817E-4, learn_rate = 1.7114301E-9
[DEBUG] 2016-02-02 06:54:29,901 -- CAMF_C fold [3] iter 47: loss = 3178.8105, delta_loss = 3.172593E-4, learn_rate = 1.7970015E-9
[DEBUG] 2016-02-02 06:54:29,918 -- CAMF_C fold [1] iter 45: loss = 3295.5217, delta_loss = 0.011011753, learn_rate = 1.6299334E-9
[DEBUG] 2016-02-02 06:54:29,926 -- CAMF_C fold [1] iter 46: loss = 3295.51, delta_loss = 0.011561585, learn_rate = 1.7114301E-9
[DEBUG] 2016-02-02 06:54:29,941 -- CAMF_C fold [1] iter 47: loss = 3295.498, delta_loss = 0.012138831, learn_rate = 1.7970015E-9
[DEBUG] 2016-02-02 06:54:29,951 -- CAMF_C fold [2] iter 47: loss = 3378.508, delta_loss = 0.0129945595, learn_rate = 1.7970015E-9
[DEBUG] 2016-02-02 06:54:29,952 -- CAMF_C fold [5] iter 50: loss = 3360.6953, delta_loss = 0.005277347, learn_rate = 2.080254E-9
[DEBUG] 2016-02-02 06:54:29,957 -- CAMF_C fold [3] iter 48: loss = 3178.8103, delta_loss = 3.3311476E-4, learn_rate = 1.8868516E-9
[DEBUG] 2016-02-02 06:54:29,959 -- CAMF_C fold [4] iter 47: loss = 3122.1404, delta_loss = 2.4630962E-4, learn_rate = 1.7970015E-9
[DEBUG] 2016-02-02 06:54:29,960 -- CAMF_C fold [5] iter 51: loss = 3360.69, delta_loss = 0.005540776, learn_rate = 2.1842665E-9
[DEBUG] 2016-02-02 06:54:29,964 -- CAMF_C fold [3] iter 49: loss = 3178.81, delta_loss = 3.4976212E-4, learn_rate = 1.9811943E-9
[DEBUG] 2016-02-02 06:54:29,964 -- CAMF_C fold [2] iter 48: loss = 3378.4946, delta_loss = 0.013643316, learn_rate = 1.8868516E-9
[DEBUG] 2016-02-02 06:54:29,966 -- CAMF_C fold [5] iter 52: loss = 3360.684, delta_loss = 0.005817332, learn_rate = 2.29348E-9
[DEBUG] 2016-02-02 06:54:29,966 -- CAMF_C fold [4] iter 48: loss = 3122.1401, delta_loss = 2.5862386E-4, learn_rate = 1.8868516E-9
[DEBUG] 2016-02-02 06:54:29,970 -- CAMF_C fold [2] iter 49: loss = 3378.4802, delta_loss = 0.014324411, learn_rate = 1.9811943E-9
[DEBUG] 2016-02-02 06:54:29,970 -- CAMF_C fold [3] iter 50: loss = 3178.8096, delta_loss = 3.6724118E-4, learn_rate = 2.080254E-9
[DEBUG] 2016-02-02 06:54:29,974 -- CAMF_C fold [4] iter 49: loss = 3122.14, delta_loss = 2.7155346E-4, learn_rate = 1.9811943E-9
[DEBUG] 2016-02-02 06:54:29,974 -- CAMF_C fold [5] iter 53: loss = 3360.678, delta_loss = 0.0061076656, learn_rate = 2.408154E-9
[DEBUG] 2016-02-02 06:54:29,975 -- CAMF_C fold [3] iter 51: loss = 3178.809, delta_loss = 3.855931E-4, learn_rate = 2.1842665E-9
[DEBUG] 2016-02-02 06:54:29,976 -- CAMF_C fold [2] iter 50: loss = 3378.465, delta_loss = 0.0150394505, learn_rate = 2.080254E-9
[DEBUG] 2016-02-02 06:54:29,984 -- CAMF_C fold [3] iter 52: loss = 3178.8088, delta_loss = 4.0486176E-4, learn_rate = 2.29348E-9
[DEBUG] 2016-02-02 06:54:29,984 -- CAMF_C fold [4] iter 50: loss = 3122.1396, delta_loss = 2.8512962E-4, learn_rate = 2.080254E-9
[DEBUG] 2016-02-02 06:54:29,985 -- CAMF_C fold [2] iter 51: loss = 3378.4495, delta_loss = 0.015790122, learn_rate = 2.1842665E-9
[DEBUG] 2016-02-02 06:54:29,989 -- CAMF_C fold [3] iter 53: loss = 3178.8083, delta_loss = 4.2509253E-4, learn_rate = 2.408154E-9
[DEBUG] 2016-02-02 06:54:29,990 -- CAMF_C fold [5] iter 54: loss = 3360.6716, delta_loss = 0.006412462, learn_rate = 2.5285616E-9
[DEBUG] 2016-02-02 06:54:29,991 -- CAMF_C fold [4] iter 51: loss = 3122.1392, delta_loss = 2.9938432E-4, learn_rate = 2.1842665E-9
[DEBUG] 2016-02-02 06:54:29,992 -- CAMF_C fold [2] iter 52: loss = 3378.4329, delta_loss = 0.016578192, learn_rate = 2.29348E-9
[DEBUG] 2016-02-02 06:54:29,997 -- CAMF_C fold [5] iter 55: loss = 3360.6648, delta_loss = 0.0067324378, learn_rate = 2.6549898E-9
[DEBUG] 2016-02-02 06:54:29,997 -- CAMF_C fold [1] iter 48: loss = 3295.485, delta_loss = 0.012744855, learn_rate = 1.8868516E-9
[DEBUG] 2016-02-02 06:54:30,002 -- CAMF_C fold [3] iter 54: loss = 3178.8079, delta_loss = 4.4633364E-4, learn_rate = 2.5285616E-9
[DEBUG] 2016-02-02 06:54:30,002 -- CAMF_C fold [1] iter 49: loss = 3295.472, delta_loss = 0.013381085, learn_rate = 1.9811943E-9
[DEBUG] 2016-02-02 06:54:30,009 -- CAMF_C fold [3] iter 55: loss = 3178.8074, delta_loss = 4.686354E-4, learn_rate = 2.6549898E-9
[DEBUG] 2016-02-02 06:54:30,013 -- CAMF_C fold [1] iter 50: loss = 3295.4578, delta_loss = 0.014049023, learn_rate = 2.080254E-9
[DEBUG] 2016-02-02 06:54:30,019 -- CAMF_C fold [3] iter 56: loss = 3178.807, delta_loss = 4.9205084E-4, learn_rate = 2.7877392E-9
[DEBUG] 2016-02-02 06:54:30,024 -- CAMF_C fold [2] iter 53: loss = 3378.4153, delta_loss = 0.01740552, learn_rate = 2.408154E-9
[DEBUG] 2016-02-02 06:54:30,024 -- CAMF_C fold [3] iter 57: loss = 3178.8064, delta_loss = 5.1663525E-4, learn_rate = 2.9271263E-9
[DEBUG] 2016-02-02 06:54:30,031 -- CAMF_C fold [3] iter 58: loss = 3178.806, delta_loss = 5.424471E-4, learn_rate = 3.0734826E-9
[DEBUG] 2016-02-02 06:54:30,032 -- CAMF_C fold [2] iter 54: loss = 3378.3972, delta_loss = 0.018274052, learn_rate = 2.5285616E-9
[DEBUG] 2016-02-02 06:54:30,034 -- CAMF_C fold [4] iter 52: loss = 3122.139, delta_loss = 3.1435167E-4, learn_rate = 2.29348E-9
[DEBUG] 2016-02-02 06:54:30,036 -- CAMF_C fold [3] iter 59: loss = 3178.8054, delta_loss = 5.6954747E-4, learn_rate = 3.2271568E-9
[DEBUG] 2016-02-02 06:54:30,037 -- CAMF_C fold [2] iter 55: loss = 3378.378, delta_loss = 0.019185832, learn_rate = 2.6549898E-9
[DEBUG] 2016-02-02 06:54:30,040 -- CAMF_C fold [4] iter 53: loss = 3122.1387, delta_loss = 3.3006704E-4, learn_rate = 2.408154E-9
[DEBUG] 2016-02-02 06:54:30,042 -- CAMF_C fold [2] iter 56: loss = 3378.3577, delta_loss = 0.020143004, learn_rate = 2.7877392E-9
[DEBUG] 2016-02-02 06:54:30,051 -- CAMF_C fold [4] iter 54: loss = 3122.1382, delta_loss = 3.465681E-4, learn_rate = 2.5285616E-9
[DEBUG] 2016-02-02 06:54:30,051 -- CAMF_C fold [2] iter 57: loss = 3378.3367, delta_loss = 0.021147817, learn_rate = 2.9271263E-9
[DEBUG] 2016-02-02 06:54:30,067 -- CAMF_C fold [4] iter 55: loss = 3122.138, delta_loss = 3.638938E-4, learn_rate = 2.6549898E-9
[DEBUG] 2016-02-02 06:54:30,076 -- CAMF_C fold [4] iter 56: loss = 3122.1375, delta_loss = 3.8208568E-4, learn_rate = 2.7877392E-9
[DEBUG] 2016-02-02 06:54:30,079 -- CAMF_C fold [5] iter 56: loss = 3360.6577, delta_loss = 0.0070683463, learn_rate = 2.7877392E-9
[DEBUG] 2016-02-02 06:54:30,082 -- CAMF_C fold [1] iter 51: loss = 3295.443, delta_loss = 0.014750244, learn_rate = 2.1842665E-9
[DEBUG] 2016-02-02 06:54:30,090 -- CAMF_C fold [5] iter 57: loss = 3360.6504, delta_loss = 0.007420977, learn_rate = 2.9271263E-9
[DEBUG] 2016-02-02 06:54:30,091 -- CAMF_C fold [1] iter 52: loss = 3295.4275, delta_loss = 0.015486401, learn_rate = 2.29348E-9
[DEBUG] 2016-02-02 06:54:30,105 -- CAMF_C fold [5] iter 58: loss = 3360.6426, delta_loss = 0.0077911587, learn_rate = 3.0734826E-9
[DEBUG] 2016-02-02 06:54:30,106 -- CAMF_C fold [1] iter 53: loss = 3295.4114, delta_loss = 0.016259225, learn_rate = 2.408154E-9
[DEBUG] 2016-02-02 06:54:30,115 -- CAMF_C fold [5] iter 59: loss = 3360.6343, delta_loss = 0.008179761, learn_rate = 3.2271568E-9
[DEBUG] 2016-02-02 06:54:30,116 -- CAMF_C fold [1] iter 54: loss = 3295.3943, delta_loss = 0.01707054, learn_rate = 2.5285616E-9
[DEBUG] 2016-02-02 06:54:30,122 -- CAMF_C fold [3] iter 60: loss = 3178.8047, delta_loss = 5.980006E-4, learn_rate = 3.3885146E-9
[DEBUG] 2016-02-02 06:54:30,130 -- CAMF_C fold [2] iter 58: loss = 3378.3145, delta_loss = 0.022202631, learn_rate = 3.0734826E-9
[DEBUG] 2016-02-02 06:54:30,132 -- CAMF_C fold [4] iter 57: loss = 3122.1372, delta_loss = 4.0118681E-4, learn_rate = 2.9271263E-9
[DEBUG] 2016-02-02 06:54:30,133 -- CAMF_C fold [3] iter 61: loss = 3178.8042, delta_loss = 6.2787393E-4, learn_rate = 3.5579402E-9
[DEBUG] 2016-02-02 06:54:30,144 -- CAMF_C fold [4] iter 58: loss = 3122.1367, delta_loss = 4.2124264E-4, learn_rate = 3.0734826E-9
[DEBUG] 2016-02-02 06:54:30,145 -- CAMF_C fold [2] iter 59: loss = 3378.291, delta_loss = 0.023309926, learn_rate = 3.2271568E-9
[DEBUG] 2016-02-02 06:54:30,155 -- CAMF_C fold [2] iter 60: loss = 3378.2666, delta_loss = 0.02447229, learn_rate = 3.3885146E-9
[DEBUG] 2016-02-02 06:54:30,155 -- CAMF_C fold [4] iter 59: loss = 3122.1362, delta_loss = 4.4230098E-4, learn_rate = 3.2271568E-9
[DEBUG] 2016-02-02 06:54:30,164 -- CAMF_C fold [4] iter 60: loss = 3122.1357, delta_loss = 4.6441183E-4, learn_rate = 3.3885146E-9
